HCPC,SEQNUM,RECID,"LONG DESCRIPTION","SHORT DESCRIPTION",PRICE1,PRICE2,PRICE3,PRICE4,MULT_PI,CIM1,CIM2,CIM3,MCM1,MCM2,MCM3,STATUTE,LABCERT1,LABCERT2,LABCERT3,LABCERT4,LABCERT5,LABCERT6,LABCERT7,LABCERT8,XREF1,XREF2,XREF3,XREF4,XREF5,COV,ASC_GRP,ASC_DT,OPPS,OPPS_PI,OPPS_DT,PROCNOTE,BETOS,TOS1,TOS2,TOS3,TOS4,TOS5,ANEST_BU,"ADD DT","ACT EFF DT","TERM DT","ACTION CD"
"   AB",0010,7,"Audiology service furnished personally by an audiologist without a physician/npp order for non-acute hearing assessment unrelated to disequilibrium, or hearing aids, or examinations for the purpose of prescribing, fitting, or changing hearing aids; service may be performed once every 12 months, per beneficiary","Aud svs w/o order evry 12mo",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20230101,20230101,,A
"   AD",0010,7,"Medical supervision by a physician: more than four concurrent anesthesia procedures","Md supervision, >4 anes proc",,,,,,,,,3350.5,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,19840101,20010101,,N
"   AE",0010,7,"Registered dietician","Registered dietician",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20050101,20050101,,N
"   AF",0010,7,"Specialty physician","Specialty physician",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20050101,20050101,,N
"   AG",0010,7,"Primary physician","Primary physician",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20050101,20050101,,N
"   AH",0010,7,"Clinical psychologist","Clinical psychologist",,,,,,,,,2150,5112,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,19910101,19970101,,N
"   AI",0010,7,"Principal physician of record","Principal physician of rec",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20100101,20100101,,N
"   AJ",0010,7,"Clinical social worker","Clinical social worker",,,,,,,,,2152,5113,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,19910101,19970101,,N
"   AK",0010,7,"Non participating physician","Non participating physician",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20050101,20050101,,N
"   AM",0010,7,"Physician, team member service","Physician, team member svc",,,,,,,,,4105.7,,,,,,,,,,,,QM,,,,,D,,,,,,0069,,,,,,,,19910101,19970101,,N
"   AO",0010,7,"Alternate payment method declined by provider of service","Prov declined alt pmt method",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20131001,20131001,,N
"   AP",0010,7,"Determination of refractive state was not performed in the course of diagnostic ophthalmological examination","No dtmn of refractive state",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19840101,19970101,,N
"   AQ",0010,7,"Physician providing a service in an unlisted health professional shortage area (hpsa)","Physician service hpsa area",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20060101,20060101,,N
"   AR",0010,7,"Physician provider services in a physician scarcity area","Physician scarcity area",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20050101,20050101,,N
"   AS",0010,7,"Physician assistant, nurse practitioner, or clinical nurse specialist services for assistant at surgery","Assistant at surgery service",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,0069,,,,,,,,19880101,19990101,,N
"   AT",0010,7,"Acute treatment (this modifier should be used when reporting service 98940, 98941, 98942)","Acute treatment",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19840101,19980101,,N
"   AU",0010,7,"Item furnished in conjunction with a urological, ostomy, or tracheostomy supply","Uro, ostomy or trach item",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20030101,20030101,,N
"   AV",0010,7,"Item furnished in conjunction with a prosthetic device, prosthetic or orthotic","Item w prosthetic/orthotic",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20030101,20030101,,N
"   AW",0010,7,"Item furnished in conjunction with a surgical dressing","Item w a surgical dressing",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20030101,20030101,,N
"   AX",0010,7,"Item furnished in conjunction with dialysis services","Item w dialysis services",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20030101,20030101,,N
"   AY",0010,7,"Item or service furnished to an esrd patient that is not for the treatment of esrd","Item/service not for esrd tx",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20110101,20110101,,N
"   AZ",0010,7,"Physician providing a service in a dental health professional shortage area for the purpose of an electronic health record incentive payment","Physician serv in dent hpsa",,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,20110101,20110101,,N
"   BA",0010,7,"Item furnished in conjunction with parenteral enteral nutrition (pen) services","Item w pen services",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20030101,20030101,,N
"   BL",0010,7,"Special acquisition of blood and blood products","Spec acquisition blood prods",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20050701,20050701,,N
"   BO",0010,7,"Orally administered nutrition, not by feeding tube","Nutrition oral admin no tube",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20030101,20030101,,N
"   BP",0010,7,"The beneficiary has been informed of the purchase and rental options and has elected to purchase the item","Bene electd to purchase item",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19920101,19970101,,N
"   BR",0010,7,"The beneficiary has been informed of the purchase and rental options and has elected to rent the item","Bene elected to rent item",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19920101,19970101,,N
"   BU",0010,7,"The beneficiary has been informed of the purchase and rental options and after 30 days has not informed the supplier of his/her decision","Bene undecided on purch/rent",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19920101,19970101,,N
"   CA",0010,7,"Procedure payable only in the inpatient setting when performed emergently on an outpatient who expires prior to admission","Procedure payable inpatient",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20030101,20030101,,N
"   CB",0010,7,"Service ordered by a renal dialysis facility (rdf) physician as part of the esrd beneficiary's dialysis benefit, is not part of the composite rate, and is separately reimbursable","Esrd bene part a snf-sep pay",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20030401,20040101,,N
"   CC",0010,7,"Procedure code change (use 'cc' when the procedure code submitted was changed either for administrative reasons or because an incorrect code was filed)","Procedure code change",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19900101,19970101,,N
"   CD",0010,7,"Amcc test has been ordered by an esrd facility or mcp physician that is part of the composite rate and is not separately billable","Amcc test for esrd or mcp md",,,,,,,,,4270.2,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,20040101,20040101,,N
"   CE",0010,7,"Amcc test has been ordered by an esrd facility or mcp physician that is a composite rate test but is beyond the normal frequency covered under the rate and is separately reimbursable based on medical necessity","Med neces amcc tst sep reimb",,,,,,,,,4270.2,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,20040101,20040101,,N
"   CF",0010,7,"Amcc test has been ordered by an esrd facility or mcp physician that is not part of the composite rate and is separately billable","Amcc tst not composite rate",,,,,,,,,4270.2,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,20040101,20040101,,N
"   CG",0010,7,"Policy criteria applied","Policy criteria applied",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20080701,20080701,,N
"   CH",0010,7,"0 percent impaired, limited or restricted","0 percent impaired, ltd, res",,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0180,,,,,,,,20130101,20130101,,N
"   CI",0010,7,"At least 1 percent but less than 20 percent impaired, limited or restricted","1 to <20 percent impaired",,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0180,,,,,,,,20130101,20130101,,N
"   CJ",0010,7,"At least 20 percent but less than 40 percent impaired, limited or restricted","20 to <40 percent impaired",,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0180,,,,,,,,20130101,20130101,,N
"   CK",0010,7,"At least 40 percent but less than 60 percent impaired, limited or restricted","40 to <60 percent impaired",,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0180,,,,,,,,20130101,20130101,,N
"   CL",0010,7,"At least 60 percent but less than 80 percent impaired, limited or restricted","60 to <80 percent impaired",,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0180,,,,,,,,20130101,20130101,,N
"   CM",0010,7,"At least 80 percent but less than 100 percent impaired, limited or restricted","80 to <100 percent impaired",,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0180,,,,,,,,20130101,20130101,,N
"   CN",0010,7,"100 percent impaired, limited or restricted","100 percent impaired, ltd",,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0180,,,,,,,,20130101,20130101,,N
"   CO",0010,7,"Outpatient occupational therapy services furnished in whole or in part by an occupational therapy assistant","Outpatient ot service by ota",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20190101,20190101,,N
"   CP",0010,7,"Adjunctive service related to a procedure assigned to a comprehensive ambulatory payment classification (c-apc) procedure, but reported on a different claim","C-apc adjunctive service",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20160101,20180101,20171231,N
"   CQ",0010,7,"Outpatient physical therapy services furnished in whole or in part by a physical therapist assistant","Outpatient pt service by pta",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20190101,20190101,,N
"   CR",0010,7,"Catastrophe/disaster related","Catastrophe/disaster related",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20050821,20050821,,N
"   CS",0010,7,"Cost-sharing waived for specified covid-19 testing-related services that result in and order for or administration of a covid-19 test and/or used for cost-sharing waived preventive services furnished via telehealth in rural health clinics and federally qualified health centers during the covid-19 public health emergency","Cost share waiver covid-19",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20110101,20200301,,N
"   CT",0010,7,"Computed tomography services furnished using equipment that does not meet each of the attributes of the national electrical manufacturers association (nema) xr-29-2013 standard","Ct does not meet nema standa",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20160101,20160101,,N
"   DA",0010,7,"Oral health assessment by a licensed health professional other than a dentist","Oral health assess, not dent",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20110101,20110101,,N
"   E1",0010,7,"Upper left, eyelid","Upper left eyelid",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101,,N
"   E2",0010,7,"Lower left, eyelid","Lower left eyelid",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101,,N
"   E3",0010,7,"Upper right, eyelid","Upper right eyelid",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101,,N
"   E4",0010,7,"Lower right, eyelid","Lower right eyelid",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101,,N
"   EA",0010,7,"Erythropoetic stimulating agent (esa) administered to treat anemia due to anti-cancer chemotherapy","Esa, anemia, chemo-induced",,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0147,,,,,,,,20080101,20080101,,N
"   EB",0010,7,"Erythropoetic stimulating agent (esa) administered to treat anemia due to anti-cancer radiotherapy","Esa, anemia, radio-induced",,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0147,,,,,,,,20080101,20080101,,N
"   EC",0010,7,"Erythropoetic stimulating agent (esa) administered to treat anemia not due to anti-cancer radiotherapy or anti-cancer chemotherapy","Esa, anemia, non-chemo/radio",,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0147,,,,,,,,20080101,20080101,,N
"   ED",0010,7,"Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle","Hct>39% or hgb>13g>=3 cycle",,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0145,,,,,,,,20080101,20080101,,N
"   EE",0010,7,"Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle","Hct>39% or hgb>13g<3 cycle",,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0145,,,,,,,,20080101,20080101,,N
"   EJ",0010,7,"Subsequent claims for a defined course of therapy, e.g., epo, sodium hyaluronate, infliximab","Subsequent claim",,,,,,,,,4273.2,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,19910101,20000101,,N
"   EM",0010,7,"Emergency reserve supply (for esrd benefit only)","Emer reserve supply (esrd)",,,,,,,,,3045.7,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,19910101,19970101,,N
"   EP",0010,7,"Service provided as part of medicaid early periodic screening diagnosis and treatment (epsdt) program","Medicaid epsdt program svc",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19870101,19970101,,N
"   ER",0010,7,"Items and services furnished by a provider-based, off-campus emergency department","Off-campus ed service",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20190101,20190101,,N
"   ET",0010,7,"Emergency services","Emergency services",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19840101,20020101,,N
"   EX",0010,7,"Expatriate beneficiary","Expatriate beneficiary",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20150401,20150401,,N
"   EY",0010,7,"No physician or other licensed health care provider order for this item or service","No md order for item/service",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20030101,20030101,,N
"   F1",0010,7,"Left hand, second digit","Left hand, second digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101,,N
"   F2",0010,7,"Left hand, third digit","Left hand, third digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101,,N
"   F3",0010,7,"Left hand, fourth digit","Left hand, fourth digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101,,N
"   F4",0010,7,"Left hand, fifth digit","Left hand, fifth digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101,,N
"   F5",0010,7,"Right hand, thumb","Right hand, thumb",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101,,N
"   F6",0010,7,"Right hand, second digit","Right hand, second digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101,,N
"   F7",0010,7,"Right hand, third digit","Right hand, third digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101,,N
"   F8",0010,7,"Right hand, fourth digit","Right hand, fourth digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101,,N
"   F9",0010,7,"Right hand, fifth digit","Right hand, fifth digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101,,N
"   FA",0010,7,"Left hand, thumb","Left hand, thumb",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101,,N
"   FB",0010,7,"Item provided without cost to provider, supplier or practitioner, or full credit received for replaced device (examples, but not limited to, covered under warranty, replaced due to defect, free samples)","Item provided without cost",,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,20060101,20080101,,N
"   FC",0010,7,"Partial credit received for replaced device","Part credit, replaced device",,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0143,,,,,,,,20080101,20080101,,N
"   FP",0010,7,"Service provided as part of family planning program","Svc part of family plan pgm",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19870101,20050101,,N
"   FQ",0010,7,"The service was furnished using audio-only communication technology","Audio-only service",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20220101,20220101,,N
"   FR",0010,7,"The supervising practitioner was present through two-way, audio/video communication technology","Two-way a/v dir supervision",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20220101,20220101,,N
"   FS",0010,7,"Split (or shared) evaluation and management visit","Split or shared e/m visit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20220101,20220101,,N
"   FT",0010,7,"Unrelated evaluation and management (e/m) visit on the same day as another e/m visit or during a global procedure (preoperative, postoperative period, or on the same day as the procedure, as applicable). (report when an e/m visit is furnished within the global period but is unrelated, or when one or more additional e/m visits furnished on the same day are unrelated)","Separate, unrelated e/m",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20220101,20220101,,N
"   FX",0010,7,"X-ray taken using film","X-ray taken using film",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20170101,20170101,,N
"   FY",0010,7,"X-ray taken using computed radiography technology/cassette-based imaging","Computed radiography x-ray",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20180101,20180101,,N
"   G0",0010,7,"Telehealth services for diagnosis, evaluation, or treatment, of symptoms of an acute stroke",Telestroke,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20190101,20190101,,N
"   G1",0010,7,"Most recent urr reading of less than 60","Urr reading of less than 60",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19970101,19980101,,N
"   G2",0010,7,"Most recent urr reading of 60 to 64.9","Urr reading of 60 to 64.9",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19970101,19980101,,N
"   G3",0010,7,"Most recent urr reading of 65 to 69.9","Urr  reading of 65 to 69.9",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19970101,19980101,,N
"   G4",0010,7,"Most recent urr reading of 70 to 74.9","Urr reading of 70 to 74.9",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19970101,19970101,,N
"   G5",0010,7,"Most recent urr reading of 75 or greater","Urr reading of 75 or greater",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19970101,19980101,,N
"   G6",0010,7,"Esrd patient for whom less than six dialysis sessions have been provided in a month","Esrd patient <6 dialysis/mth",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19980501,19980501,,N
"   G7",0010,7,"Pregnancy resulted from rape or incest or pregnancy certified by physician as life threatening","Payment limits do not apply",,,,,,35-99,,,2005.1,,,,,,,,,,,,,,,,,D,,,,,,0084,,,,,,,,19990701,19990701,,N
"   G8",0010,7,"Monitored anesthesia care (mac) for deep complex, complicated, or markedly invasive surgical procedure","Monitored anesthesia care",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,0083,,,,,,,,19990701,19990701,,N
"   G9",0010,7,"Monitored anesthesia care for patient who has history of severe cardio-pulmonary condition","Mac for at risk patient",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19990701,19990701,,N
"   GA",0010,7,"Waiver of liability statement issued as required by payer policy, individual case","Liability waiver ind case",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,20110101,,N
"   GB",0010,7,"Claim being re-submitted for payment because it is no longer covered under a global payment demonstration","Claim resubmitted",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20020101,20020101,,N
"   GC",0010,7,"This service has been performed in part by a resident under the direction of a teaching physician","Resident/teaching phys serv",,,,,,,,,3350.5,4116,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,19970101,20010101,,N
"   GD",0010,7,"Units of service exceeds medically unlikely edit value and represents reasonable and necessary services","Unit of service > mue value",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20080101,20200101,20191231,N
"   GE",0010,7,"This service has been performed by a resident without the presence of a teaching physician under the primary care exception","Resident prim care exception",,,,,,,,,4116,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,19970101,19970101,,N
"   GF",0010,7,"Non-physician (e.g. nurse practitioner (np), certified registered nurse anesthetist (crna), certified registered nurse (crn), clinical nurse specialist (cns), physician assistant (pa)) services in a critical access hospital","Nonphysician serv c a hosp",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20030401,20030401,,N
"   GG",0010,7,"Performance and payment of a screening mammogram and diagnostic mammogram on the same patient, same day","Payment screen mam + diagmam",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20020101,20020101,,N
"   GH",0010,7,"Diagnostic mammogram converted from screening mammogram on same day","Diag mammo to screening mamo",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19981001,19981001,,N
"   GJ",0010,7,"""opt out"" physician or practitioner emergency or urgent service","Opt out provider of er srvc",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19981001,19981001,,N
"   GK",0010,7,"Reasonable and necessary item/service associated with a ga or gz modifier","Actual item/service ordered",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20020101,20080101,,N
"   GL",0010,7,"Medically unnecessary upgrade provided instead of non-upgraded item, no charge, no advance beneficiary notice (abn)","Upgraded item, no charge",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20020101,20080101,,N
"   GM",0010,7,"Multiple patients on one ambulance trip","Multiple transports",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20020101,20020101,,N
"   GN",0010,7,"Services delivered under an outpatient speech language pathology plan of care","Op speech language service",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19990101,20030101,,N
"   GO",0010,7,"Services delivered under an outpatient occupational therapy plan of care","Op occupational therapy serv",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19990101,20030101,,N
"   GP",0010,7,"Services delivered under an outpatient physical therapy plan of care","Op pt services",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19990101,20030101,,N
"   GQ",0010,7,"Via asynchronous telecommunications system","Telehealth store and forward",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20011001,20011001,,N
"   GR",0010,7,"This service was performed in whole or in part by a resident in a department of veterans affairs medical center or clinic, supervised in accordance with va policy","Service by va resident",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20060101,20060101,,N
"   GS",0010,7,"Dosage of erythropoietin stimulating agent has been reduced and maintained in response to hematocrit or hemoglobin level","Epo/darbepoietin reduced 25%",,,,,,,,,4273.1,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,20060101,20130101,,N
"   GT",0010,7,"Via interactive audio and video telecommunication systems",Interactivetelecommunication,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0073,,,,,,,,19990101,19990101,,N
"   GU",0010,7,"Waiver of liability statement issued as required by payer policy, routine notice","Liability waiver rout notice",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20110101,20110101,,N
"   GV",0010,7,"Attending physician not employed or paid under arrangement by the patient's hospice provider","Attending phys not hospice",,,,,,,,,4175-5,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,20020101,20020101,,N
"   GW",0010,7,"Service not related to the hospice patient's terminal condition","Service unrelated to term co",,,,,,,,,4175-5,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,20020101,20020101,,N
"   GX",0010,7,"Notice of liability issued, voluntary under payer policy","Voluntary liability notice",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20100401,20100401,,N
"   GY",0010,7,"Item or service statutorily excluded, does not meet the definition of any medicare benefit or, for non-medicare insurers, is not a contract benefit","Statutorily excluded",,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,20020101,20070701,,N
"   GZ",0010,7,"Item or service expected to be denied as not reasonable and necessary","Not reasonable and necessary",,,,,,,,,2000,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,20020101,20020101,,N
"   H9",0010,7,Court-ordered,Court-ordered,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,20030101,20030101,,N
"   HA",0010,7,"Child/adolescent program","Child/adolescent program",,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,20030101,20030101,,N
"   HB",0010,7,"Adult program, non geriatric","Adult program non-geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,20030101,20030101,,N
"   HC",0010,7,"Adult program, geriatric","Adult program geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,20030101,20030101,,N
"   HD",0010,7,"Pregnant/parenting women's program","Pregnant/parenting program",,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,20030101,20030101,,N
"   HE",0010,7,"Mental health program","Mental health program",,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,20030101,20030101,,N
